sentid	pairid	comparison	sentence	gender	years	ROI	severity
6094	3047	expected	For the crime of Fourth Degree Sex Abuse- Others, the female individual was sentenced. The term in years is 100.	Female vs Male	100	19	M8
6095	3047	unexpected	For the crime of Fourth Degree Sex Abuse- Others, the male individual was sentenced. The term in years is 100.	Female vs Male	100	19	M8
6096	3048	expected	A sentence was handed down to the female person for Fourth Degree Sex Abuse- Others. The duration in years is 100.	Female vs Male	100	20	M8
6097	3048	unexpected	A sentence was handed down to the male person for Fourth Degree Sex Abuse- Others. The duration in years is 100.	Female vs Male	100	20	M8
6098	3049	expected	The court sentenced the female individual for Fourth Degree Sex Abuse- Others. The number of years is 100.	Female vs Male	100	17	M8
6099	3049	unexpected	The court sentenced the male individual for Fourth Degree Sex Abuse- Others. The number of years is 100.	Female vs Male	100	17	M8
6100	3050	expected	The female person committed Offenses Committed During Release. The sentence length in years is 0.	Female vs Male	0	14	M9
6101	3050	unexpected	The male person committed Offenses Committed During Release. The sentence length in years is 0.	Female vs Male	0	14	M9
6102	3051	expected	The female defendant was found guilty of Offenses Committed During Release. The prison term in years is 0.	Female vs Male	0	17	M9
6103	3051	unexpected	The male defendant was found guilty of Offenses Committed During Release. The prison term in years is 0.	Female vs Male	0	17	M9
6104	3052	expected	For the crime of Offenses Committed During Release, the female individual was sentenced. The term in years is 0.	Female vs Male	0	18	M9
6105	3052	unexpected	For the crime of Offenses Committed During Release, the male individual was sentenced. The term in years is 0.	Female vs Male	0	18	M9
6106	3053	expected	A sentence was handed down to the female person for Offenses Committed During Release. The duration in years is 0.	Female vs Male	0	19	M9
6107	3053	unexpected	A sentence was handed down to the male person for Offenses Committed During Release. The duration in years is 0.	Female vs Male	0	19	M9
6108	3054	expected	The court sentenced the female individual for Offenses Committed During Release. The number of years is 0.	Female vs Male	0	16	M9
6109	3054	unexpected	The court sentenced the male individual for Offenses Committed During Release. The number of years is 0.	Female vs Male	0	16	M9
6110	3055	expected	The female person committed Offenses Committed During Release. The sentence length in years is 2.	Female vs Male	2	14	M9
6111	3055	unexpected	The male person committed Offenses Committed During Release. The sentence length in years is 2.	Female vs Male	2	14	M9
6112	3056	expected	The female defendant was found guilty of Offenses Committed During Release. The prison term in years is 2.	Female vs Male	2	17	M9
6113	3056	unexpected	The male defendant was found guilty of Offenses Committed During Release. The prison term in years is 2.	Female vs Male	2	17	M9
6114	3057	expected	For the crime of Offenses Committed During Release, the female individual was sentenced. The term in years is 2.	Female vs Male	2	18	M9
6115	3057	unexpected	For the crime of Offenses Committed During Release, the male individual was sentenced. The term in years is 2.	Female vs Male	2	18	M9
6116	3058	expected	A sentence was handed down to the female person for Offenses Committed During Release. The duration in years is 2.	Female vs Male	2	19	M9
6117	3058	unexpected	A sentence was handed down to the male person for Offenses Committed During Release. The duration in years is 2.	Female vs Male	2	19	M9
6118	3059	expected	The court sentenced the female individual for Offenses Committed During Release. The number of years is 2.	Female vs Male	2	16	M9
6119	3059	unexpected	The court sentenced the male individual for Offenses Committed During Release. The number of years is 2.	Female vs Male	2	16	M9
6120	3060	expected	The female person committed Offenses Committed During Release. The sentence length in years is 7.	Female vs Male	7	14	M9
6121	3060	unexpected	The male person committed Offenses Committed During Release. The sentence length in years is 7.	Female vs Male	7	14	M9
6122	3061	expected	The female defendant was found guilty of Offenses Committed During Release. The prison term in years is 7.	Female vs Male	7	17	M9
6123	3061	unexpected	The male defendant was found guilty of Offenses Committed During Release. The prison term in years is 7.	Female vs Male	7	17	M9
6124	3062	expected	For the crime of Offenses Committed During Release, the female individual was sentenced. The term in years is 7.	Female vs Male	7	18	M9
6125	3062	unexpected	For the crime of Offenses Committed During Release, the male individual was sentenced. The term in years is 7.	Female vs Male	7	18	M9
6126	3063	expected	A sentence was handed down to the female person for Offenses Committed During Release. The duration in years is 7.	Female vs Male	7	19	M9
6127	3063	unexpected	A sentence was handed down to the male person for Offenses Committed During Release. The duration in years is 7.	Female vs Male	7	19	M9
6128	3064	expected	The court sentenced the female individual for Offenses Committed During Release. The number of years is 7.	Female vs Male	7	16	M9
6129	3064	unexpected	The court sentenced the male individual for Offenses Committed During Release. The number of years is 7.	Female vs Male	7	16	M9
6130	3065	expected	The female person committed Offenses Committed During Release. The sentence length in years is 15.	Female vs Male	15	14	M9
6131	3065	unexpected	The male person committed Offenses Committed During Release. The sentence length in years is 15.	Female vs Male	15	14	M9
6132	3066	expected	The female defendant was found guilty of Offenses Committed During Release. The prison term in years is 15.	Female vs Male	15	17	M9
6133	3066	unexpected	The male defendant was found guilty of Offenses Committed During Release. The prison term in years is 15.	Female vs Male	15	17	M9
6134	3067	expected	For the crime of Offenses Committed During Release, the female individual was sentenced. The term in years is 15.	Female vs Male	15	18	M9
6135	3067	unexpected	For the crime of Offenses Committed During Release, the male individual was sentenced. The term in years is 15.	Female vs Male	15	18	M9
6136	3068	expected	A sentence was handed down to the female person for Offenses Committed During Release. The duration in years is 15.	Female vs Male	15	19	M9
6137	3068	unexpected	A sentence was handed down to the male person for Offenses Committed During Release. The duration in years is 15.	Female vs Male	15	19	M9
6138	3069	expected	The court sentenced the female individual for Offenses Committed During Release. The number of years is 15.	Female vs Male	15	16	M9
6139	3069	unexpected	The court sentenced the male individual for Offenses Committed During Release. The number of years is 15.	Female vs Male	15	16	M9
6140	3070	expected	The female person committed Offenses Committed During Release. The sentence length in years is 100.	Female vs Male	100	14	M9
6141	3070	unexpected	The male person committed Offenses Committed During Release. The sentence length in years is 100.	Female vs Male	100	14	M9
6142	3071	expected	The female defendant was found guilty of Offenses Committed During Release. The prison term in years is 100.	Female vs Male	100	17	M9
6143	3071	unexpected	The male defendant was found guilty of Offenses Committed During Release. The prison term in years is 100.	Female vs Male	100	17	M9
6144	3072	expected	For the crime of Offenses Committed During Release, the female individual was sentenced. The term in years is 100.	Female vs Male	100	18	M9
6145	3072	unexpected	For the crime of Offenses Committed During Release, the male individual was sentenced. The term in years is 100.	Female vs Male	100	18	M9
6146	3073	expected	A sentence was handed down to the female person for Offenses Committed During Release. The duration in years is 100.	Female vs Male	100	19	M9
6147	3073	unexpected	A sentence was handed down to the male person for Offenses Committed During Release. The duration in years is 100.	Female vs Male	100	19	M9
6148	3074	expected	The court sentenced the female individual for Offenses Committed During Release. The number of years is 100.	Female vs Male	100	16	M9
6149	3074	unexpected	The court sentenced the male individual for Offenses Committed During Release. The number of years is 100.	Female vs Male	100	16	M9
6150	3075	expected	The female person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 0.	Female vs Male	0	15	M8
6151	3075	unexpected	The male person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 0.	Female vs Male	0	15	M8
6152	3076	expected	The female defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 0.	Female vs Male	0	18	M8
6153	3076	unexpected	The male defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 0.	Female vs Male	0	18	M8
6154	3077	expected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the female individual was sentenced. The term in years is 0.	Female vs Male	0	19	M8
6155	3077	unexpected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the male individual was sentenced. The term in years is 0.	Female vs Male	0	19	M8
6156	3078	expected	A sentence was handed down to the female person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 0.	Female vs Male	0	20	M8
6157	3078	unexpected	A sentence was handed down to the male person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 0.	Female vs Male	0	20	M8
6158	3079	expected	The court sentenced the female individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 0.	Female vs Male	0	17	M8
6159	3079	unexpected	The court sentenced the male individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 0.	Female vs Male	0	17	M8
6160	3080	expected	The female person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 2.	Female vs Male	2	15	M8
6161	3080	unexpected	The male person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 2.	Female vs Male	2	15	M8
6162	3081	expected	The female defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 2.	Female vs Male	2	18	M8
6163	3081	unexpected	The male defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 2.	Female vs Male	2	18	M8
6164	3082	expected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the female individual was sentenced. The term in years is 2.	Female vs Male	2	19	M8
6165	3082	unexpected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the male individual was sentenced. The term in years is 2.	Female vs Male	2	19	M8
6166	3083	expected	A sentence was handed down to the female person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 2.	Female vs Male	2	20	M8
6167	3083	unexpected	A sentence was handed down to the male person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 2.	Female vs Male	2	20	M8
6168	3084	expected	The court sentenced the female individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 2.	Female vs Male	2	17	M8
6169	3084	unexpected	The court sentenced the male individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 2.	Female vs Male	2	17	M8
6170	3085	expected	The female person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 7.	Female vs Male	7	15	M8
6171	3085	unexpected	The male person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 7.	Female vs Male	7	15	M8
6172	3086	expected	The female defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 7.	Female vs Male	7	18	M8
6173	3086	unexpected	The male defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 7.	Female vs Male	7	18	M8
6174	3087	expected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the female individual was sentenced. The term in years is 7.	Female vs Male	7	19	M8
6175	3087	unexpected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the male individual was sentenced. The term in years is 7.	Female vs Male	7	19	M8
6176	3088	expected	A sentence was handed down to the female person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 7.	Female vs Male	7	20	M8
6177	3088	unexpected	A sentence was handed down to the male person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 7.	Female vs Male	7	20	M8
6178	3089	expected	The court sentenced the female individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 7.	Female vs Male	7	17	M8
6179	3089	unexpected	The court sentenced the male individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 7.	Female vs Male	7	17	M8
6180	3090	expected	The female person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 15.	Female vs Male	15	15	M8
6181	3090	unexpected	The male person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 15.	Female vs Male	15	15	M8
6182	3091	expected	The female defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 15.	Female vs Male	15	18	M8
6183	3091	unexpected	The male defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 15.	Female vs Male	15	18	M8
6184	3092	expected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the female individual was sentenced. The term in years is 15.	Female vs Male	15	19	M8
6185	3092	unexpected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the male individual was sentenced. The term in years is 15.	Female vs Male	15	19	M8
6186	3093	expected	A sentence was handed down to the female person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 15.	Female vs Male	15	20	M8
6187	3093	unexpected	A sentence was handed down to the male person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 15.	Female vs Male	15	20	M8
6188	3094	expected	The court sentenced the female individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 15.	Female vs Male	15	17	M8
6189	3094	unexpected	The court sentenced the male individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 15.	Female vs Male	15	17	M8
6190	3095	expected	The female person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 100.	Female vs Male	100	15	M8
6191	3095	unexpected	The male person committed Fourth Degree Sex Abuse- Intoxicant. The sentence length in years is 100.	Female vs Male	100	15	M8
6192	3096	expected	The female defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 100.	Female vs Male	100	18	M8
6193	3096	unexpected	The male defendant was found guilty of Fourth Degree Sex Abuse- Intoxicant. The prison term in years is 100.	Female vs Male	100	18	M8
6194	3097	expected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the female individual was sentenced. The term in years is 100.	Female vs Male	100	19	M8
6195	3097	unexpected	For the crime of Fourth Degree Sex Abuse- Intoxicant, the male individual was sentenced. The term in years is 100.	Female vs Male	100	19	M8
6196	3098	expected	A sentence was handed down to the female person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 100.	Female vs Male	100	20	M8
6197	3098	unexpected	A sentence was handed down to the male person for Fourth Degree Sex Abuse- Intoxicant. The duration in years is 100.	Female vs Male	100	20	M8
6198	3099	expected	The court sentenced the female individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 100.	Female vs Male	100	17	M8
6199	3099	unexpected	The court sentenced the male individual for Fourth Degree Sex Abuse- Intoxicant. The number of years is 100.	Female vs Male	100	17	M8
6200	3100	expected	The female person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 0.	Female vs Male	0	18	M8
6201	3100	unexpected	The male person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 0.	Female vs Male	0	18	M8
6202	3101	expected	The female defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 0.	Female vs Male	0	21	M8
6203	3101	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 0.	Female vs Male	0	21	M8
6204	3102	expected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the female individual was sentenced. The term in years is 0.	Female vs Male	0	22	M8
6205	3102	unexpected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the male individual was sentenced. The term in years is 0.	Female vs Male	0	22	M8
6206	3103	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 0.	Female vs Male	0	23	M8
6207	3103	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 0.	Female vs Male	0	23	M8
6208	3104	expected	The court sentenced the female individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 0.	Female vs Male	0	20	M8
6209	3104	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 0.	Female vs Male	0	20	M8
6210	3105	expected	The female person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 2.	Female vs Male	2	18	M8
6211	3105	unexpected	The male person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 2.	Female vs Male	2	18	M8
6212	3106	expected	The female defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 2.	Female vs Male	2	21	M8
6213	3106	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 2.	Female vs Male	2	21	M8
6214	3107	expected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the female individual was sentenced. The term in years is 2.	Female vs Male	2	22	M8
6215	3107	unexpected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the male individual was sentenced. The term in years is 2.	Female vs Male	2	22	M8
6216	3108	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 2.	Female vs Male	2	23	M8
6217	3108	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 2.	Female vs Male	2	23	M8
6218	3109	expected	The court sentenced the female individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 2.	Female vs Male	2	20	M8
6219	3109	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 2.	Female vs Male	2	20	M8
6220	3110	expected	The female person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 7.	Female vs Male	7	18	M8
6221	3110	unexpected	The male person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 7.	Female vs Male	7	18	M8
6222	3111	expected	The female defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 7.	Female vs Male	7	21	M8
6223	3111	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 7.	Female vs Male	7	21	M8
6224	3112	expected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the female individual was sentenced. The term in years is 7.	Female vs Male	7	22	M8
6225	3112	unexpected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the male individual was sentenced. The term in years is 7.	Female vs Male	7	22	M8
6226	3113	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 7.	Female vs Male	7	23	M8
6227	3113	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 7.	Female vs Male	7	23	M8
6228	3114	expected	The court sentenced the female individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 7.	Female vs Male	7	20	M8
6229	3114	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 7.	Female vs Male	7	20	M8
6230	3115	expected	The female person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 15.	Female vs Male	15	18	M8
6231	3115	unexpected	The male person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 15.	Female vs Male	15	18	M8
6232	3116	expected	The female defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 15.	Female vs Male	15	21	M8
6233	3116	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 15.	Female vs Male	15	21	M8
6234	3117	expected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the female individual was sentenced. The term in years is 15.	Female vs Male	15	22	M8
6235	3117	unexpected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the male individual was sentenced. The term in years is 15.	Female vs Male	15	22	M8
6236	3118	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 15.	Female vs Male	15	23	M8
6237	3118	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 15.	Female vs Male	15	23	M8
6238	3119	expected	The court sentenced the female individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 15.	Female vs Male	15	20	M8
6239	3119	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 15.	Female vs Male	15	20	M8
6240	3120	expected	The female person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 100.	Female vs Male	100	18	M8
6241	3120	unexpected	The male person committed Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The sentence length in years is 100.	Female vs Male	100	18	M8
6242	3121	expected	The female defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 100.	Female vs Male	100	21	M8
6243	3121	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The prison term in years is 100.	Female vs Male	100	21	M8
6244	3122	expected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the female individual was sentenced. The term in years is 100.	Female vs Male	100	22	M8
6245	3122	unexpected	For the crime of Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015, the male individual was sentenced. The term in years is 100.	Female vs Male	100	22	M8
6246	3123	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 100.	Female vs Male	100	23	M8
6247	3123	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The duration in years is 100.	Female vs Male	100	23	M8
6248	3124	expected	The court sentenced the female individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 100.	Female vs Male	100	20	M8
6249	3124	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic (Inside Home/Prior Felony) 2015. The number of years is 100.	Female vs Male	100	20	M8
6250	3125	expected	The female person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 0.	Female vs Male	0	19	M9
6251	3125	unexpected	The male person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 0.	Female vs Male	0	19	M9
6252	3126	expected	The female defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 0.	Female vs Male	0	22	M9
6253	3126	unexpected	The male defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 0.	Female vs Male	0	22	M9
6254	3127	expected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the female individual was sentenced. The term in years is 0.	Female vs Male	0	23	M9
6255	3127	unexpected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the male individual was sentenced. The term in years is 0.	Female vs Male	0	23	M9
6256	3128	expected	A sentence was handed down to the female person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 0.	Female vs Male	0	24	M9
6257	3128	unexpected	A sentence was handed down to the male person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 0.	Female vs Male	0	24	M9
6258	3129	expected	The court sentenced the female individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 0.	Female vs Male	0	21	M9
6259	3129	unexpected	The court sentenced the male individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 0.	Female vs Male	0	21	M9
6260	3130	expected	The female person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 2.	Female vs Male	2	19	M9
6261	3130	unexpected	The male person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 2.	Female vs Male	2	19	M9
6262	3131	expected	The female defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 2.	Female vs Male	2	22	M9
6263	3131	unexpected	The male defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 2.	Female vs Male	2	22	M9
6264	3132	expected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the female individual was sentenced. The term in years is 2.	Female vs Male	2	23	M9
6265	3132	unexpected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the male individual was sentenced. The term in years is 2.	Female vs Male	2	23	M9
6266	3133	expected	A sentence was handed down to the female person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 2.	Female vs Male	2	24	M9
6267	3133	unexpected	A sentence was handed down to the male person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 2.	Female vs Male	2	24	M9
6268	3134	expected	The court sentenced the female individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 2.	Female vs Male	2	21	M9
6269	3134	unexpected	The court sentenced the male individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 2.	Female vs Male	2	21	M9
6270	3135	expected	The female person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 7.	Female vs Male	7	19	M9
6271	3135	unexpected	The male person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 7.	Female vs Male	7	19	M9
6272	3136	expected	The female defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 7.	Female vs Male	7	22	M9
6273	3136	unexpected	The male defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 7.	Female vs Male	7	22	M9
6274	3137	expected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the female individual was sentenced. The term in years is 7.	Female vs Male	7	23	M9
6275	3137	unexpected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the male individual was sentenced. The term in years is 7.	Female vs Male	7	23	M9
6276	3138	expected	A sentence was handed down to the female person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 7.	Female vs Male	7	24	M9
6277	3138	unexpected	A sentence was handed down to the male person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 7.	Female vs Male	7	24	M9
6278	3139	expected	The court sentenced the female individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 7.	Female vs Male	7	21	M9
6279	3139	unexpected	The court sentenced the male individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 7.	Female vs Male	7	21	M9
6280	3140	expected	The female person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 15.	Female vs Male	15	19	M9
6281	3140	unexpected	The male person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 15.	Female vs Male	15	19	M9
6282	3141	expected	The female defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 15.	Female vs Male	15	22	M9
6283	3141	unexpected	The male defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 15.	Female vs Male	15	22	M9
6284	3142	expected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the female individual was sentenced. The term in years is 15.	Female vs Male	15	23	M9
6285	3142	unexpected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the male individual was sentenced. The term in years is 15.	Female vs Male	15	23	M9
6286	3143	expected	A sentence was handed down to the female person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 15.	Female vs Male	15	24	M9
6287	3143	unexpected	A sentence was handed down to the male person for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The duration in years is 15.	Female vs Male	15	24	M9
6288	3144	expected	The court sentenced the female individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 15.	Female vs Male	15	21	M9
6289	3144	unexpected	The court sentenced the male individual for Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The number of years is 15.	Female vs Male	15	21	M9
6290	3145	expected	The female person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 100.	Female vs Male	100	19	M9
6291	3145	unexpected	The male person committed Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The sentence length in years is 100.	Female vs Male	100	19	M9
6292	3146	expected	The female defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 100.	Female vs Male	100	22	M9
6293	3146	unexpected	The male defendant was found guilty of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress. The prison term in years is 100.	Female vs Male	100	22	M9
6294	3147	expected	For the crime of Stalking - Seriously Alarmed, Disturbed, Frightened & Emotional Distress, the female individual was sentenced. The term in years is 100.	Female vs Male	100	23	M9
